timestamp,raw_data
2025-07-14 13:45:23.302,06,00,00,00,00,00,00,00,40,00,00,00,00,00,00,00
2025-07-14 13:45:24.180,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:24.440,06,00,00,00,00,00,00,00,80,00,00,00,00,00,00,00
2025-07-14 13:45:24.917,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:25.210,06,00,00,00,00,00,00,00,40,00,00,00,00,00,00,00
2025-07-14 13:45:25.604,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:25.858,06,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:26.045,06,02,00,00,00,00,00,00,40,00,00,00,00,00,00,00
2025-07-14 13:45:26.495,06,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:26.705,06,02,00,00,00,00,00,00,80,00,00,00,00,00,00,00
2025-07-14 13:45:27.109,06,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:27.277,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:27.398,06,00,00,00,00,00,00,00,40,00,00,00,00,00,00,00
2025-07-14 13:45:27.733,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:27.956,06,00,00,00,00,00,00,00,80,00,00,00,00,00,00,00
2025-07-14 13:45:28.467,06,02,00,00,00,00,00,00,80,00,00,00,00,00,00,00
2025-07-14 13:45:28.971,06,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:29.238,06,02,00,00,01,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:29.571,06,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:29.715,06,02,00,00,02,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:29.975,06,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:30.064,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:30.296,06,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:30.329,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-07-14 13:45:30.479,06,00,00,00,00,00,00,00,80,00,00,00,00,00,00,00
