timestamp,raw_data
2025-05-28 16:16:59.584,06,00,10,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:16:59.652,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:16:59.751,06,00,10,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:16:59.802,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:16:59.889,06,00,10,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:16:59.947,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:00.039,06,00,10,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:00.087,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:00.168,06,00,10,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:00.228,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:00.406,06,00,10,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:01.516,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:01.577,06,00,10,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:01.657,06,00,30,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:02.192,06,00,20,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:02.194,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:02.357,06,00,10,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:02.632,06,00,30,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:02.700,06,00,20,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:03.223,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:03.394,06,00,20,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:03.758,06,00,30,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:04.264,06,00,20,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:04.403,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:04.988,06,00,10,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:05.020,06,00,30,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:05.063,06,00,70,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:05.198,06,00,F0,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:05.599,06,00,E0,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-05-28 16:17:05.617,06,00,C0,00,00,00,00,00,00,00,00,00,00,00,00,00
